,title,subtitle,price_unit,price,price_unit_2,price_2,type_size,bedrooms,suite,parking,description
51,"QNN 9 Conjunto G, CEILANDIA NORTE, CEILANDIA",,R$,1.000,m² R$,18,Aluguel Apartamento 55 m²,2 Quartos,,,"Locação Apartamento de 02 quartos  Ed. Lions - Ótima localização com saídas próximas e comercio, próximo. 21/08/22"
52,"CLN 7 Bloco H, RIACHO FUNDO, RIACHO FUNDO",Edifício Bandeirante,R$,730,m² R$,24,Aluguel Apartamento 30 m²,1 Quarto,,,"Apartamento 30m2 - Edifício Bandeirante CLN 07 Riacho Fundo Apartamento com 01 quarto, sala, cozinha americana, área de... 21/08/22"
53,"Rua 12, NORTE, AGUAS CLARAS",,R$,2.400,m² R$,218,Aluguel Apartamento 11 m²,2 Quartos,1 Suíte,1 Vaga,Excelente apartamento sendo 2 quartos com suíte - RUA 12 NORTE LT 01 - ED. RES. AGUAS DE VITORIA Com o piso flutuante o... 21/08/22
54,"Rua 25, NORTE, AGUAS CLARAS","Lote 05, Residencial Vitali",R$,2.500,m² R$,39,Aluguel Apartamento 64 m²,2 Quartos,1 Suíte,1 Vaga,"Aluguel – Apartamento 02 quartos com lazer em Águas Claras! Apartamento dois quartos, sendo um suíte e lazer completo!... 21/08/22"
55,"QS 5 Rua 120, AREAL, AGUAS CLARAS",,R$,1.400,m² R$,24,Aluguel Apartamento 58 m²,2 Quartos,1 Vaga,,"AP12727 - Apartamento para alugar com 2 quartos, 58m² - Qs 05 Rua 120, Costa Azul - Areal, Df Para agendar visita, copi... 21/08/22"
56,"CRS 504 Bloco B, ASA SUL, BRASILIA",,R$,1.100,m² R$,39,Aluguel Kitnet 28 m²,1 Quarto,,,"EXCELENTE KIT, MUITO BEM AREJADA, COM VARANDA, BANHEIRO PRIVATIVO, ÓTIMA LOCALIZAÇÃO EM CIMA DO BANCO DO BRASIL, AGENCIA... 21/08/22"
57,"CCSW 1 Lote 4 Bloco A, SUDOESTE, BRASILIA",,R$,3.700,m² R$,142,Aluguel Apartamento 26 m²,1 Quarto,1 Suíte,1 Vaga,"Studio c/automação Resid. E Piso Aquecido - Em Reforma - Portal Master 403 A TOP LINE PRIME, tem orgulho de oferecer um... 21/08/22"
58,"QMSW 5 Lote 2 Bloco C, SUDOESTE, BRASILIA",,R$,1.900,m² R$,67,Aluguel Apartamento 28 m²,1 Quarto,1 Suíte,2 Vagas,"Linda KITNET 100% mobiliada, com excelente localização no sudoeste. Sendo composta por 1 quarto, banheiro, sala e cozin... 21/08/22"
59,"SQNW 110 Bloco D, NOROESTE, BRASILIA",,R$,8.800,m² R$,65,Aluguel Apartamento 135 m²,3 Quartos,1 Suíte,2 Vagas,"JC LOUZADA ALUGA. LINDÍSSIMO E FINAMENTE REFORMADO. RESIDENCIAL VIVERDE, SQNW 110, PROJEÇÃO D. Composto por 03 dormitór... 21/08/22"
60,"SQS 114 Bloco A, ASA SUL, BRASILIA",,R$,9.500,m² R$,31,Aluguel Apartamento 302 m²,3 Quartos,1 Suíte,1 Vaga,Ligue agora e agende sua visita (61) 99879.9876 Apartamento Mobiliado na SQS 114 - 6. Andar No último andar do bloco A... 21/08/22
